pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150.0,v,18,1,73,1,,,,,325.97606740007177,326.976009900216,326.976009900216,326.976009900216,326.976009900216,326.976009900216,327.97607790026814,327.97607790026814,v,1,0.8793456996791065,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,18,2,74,2,,,,,328.8760326001793,329.8760296003893,329.8760296003893,329.8760296003893,329.8760296003893,329.8760296003893,330.8759959000163,330.8759959000163,c,1,0.6940319994464517,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,18,3,75,3,,,,,331.592359600123,332.59234460024163,332.59234460024163,332.59234460024163,332.59234460024163,332.59234460024163,333.59234900027514,333.59234900027514,z,1,0.42435669992119074,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,19,0,76,0,,,,,334.0424343999475,335.04256460024044,335.04256460024044,335.04256460024044,335.04256460024044,335.04256460024044,336.04248880036175,336.04248880036175,x,1,0.558572799898684,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,19,1,77,1,,,,,336.6258472003974,337.62564540002495,337.62564540002495,337.62564540002495,337.62564540002495,337.62564540002495,338.6257147002034,338.6257147002034,v,1,0.8058451996184886,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,19,2,78,2,,,,,339.458940600045,340.45894400030375,340.45894400030375,340.45894400030375,340.45894400030375,340.45894400030375,341.45888090040535,341.45888090040535,c,1,0.6234658993780613,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,19,3,79,3,,,,,342.10877180006355,343.10877100005746,343.10877100005746,343.10877100005746,343.10877100005746,343.10877100005746,344.10882800025865,344.10882800025865,z,1,0.3243175996467471,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,20,0,80,0,,,,,344.4588294001296,345.4588199001737,345.4588199001737,345.4588199001737,345.4588199001737,345.4588199001737,346.4586583003402,346.4586583003402,x,1,0.5423503997735679,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,20,1,81,1,,,,,347.02554200030863,348.0253526000306,348.0253526000306,348.0253526000306,348.0253526000306,348.0253526000306,349.0253065000288,349.0253065000288,v,1,0.7313648997806013,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,20,2,82,2,,,,,349.775193199981,350.7752946000546,350.7752946000546,350.7752946000546,350.7752946000546,350.7752946000546,351.77531500020996,351.77531500020996,c,1,0.685451400000602,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
